Age,SD_probability_mean,SD_probability_error
-11.702532,0.9999999943183032,1.5097083405574488e-11
-11.678481,0.9999999953434288,1.244474455765187e-11
-11.65443,0.9999999945070416,1.4609911547849958e-11
-11.63038,0.9999999958140532,1.1221454582564402e-11
-11.606329,0.9999999956650611,1.1609152584952343e-11
-11.582278,0.9999999955516026,1.1904117614473246e-11
-11.558228,0.9999999957836702,1.130054535806384e-11
-11.534177,0.9999999949554402,1.3450470128113968e-11
-11.510127,0.999999995407731,1.2277830201576386e-11
-11.486076,0.9999999955302752,1.1959538299900559e-11
-11.462025,0.9999999951415264,1.2968409060921888e-11
-11.437975,0.999999995830932,1.1177505779704763e-11
-11.413924,0.9999999955089122,1.2015045122467316e-11
-11.389873,0.9999999951946108,1.2830785825098374e-11
-11.365823,0.9999999952827292,1.260224745477139e-11
-11.341772,0.9999999824964434,4.4989232024497685e-11
-11.317722,0.9999999941678328,1.5485131655731068e-11
-11.293671,0.999999993267781,1.7800263610774654e-11
-11.26962,0.9999999943614044,1.4985874193527138e-11
-11.24557,0.999999995336318,1.2463203129432807e-11
-11.221519,0.9999999878878176,3.147593545799325e-11
-11.197468,0.9999999883057832,3.042146115029536e-11
-11.173418,0.9999999895952308,2.7160902491016263e-11
-11.149367,0.9999999925695612,1.9589763843473928e-11
-11.125316,0.999999994158702,1.5508665727869064e-11
-11.101266,0.9999999931429968,1.81204750455418e-11
-11.077215,0.999999985934856,3.638884284888009e-11
-11.053165,0.9999999861313816,3.5895455290849215e-11
-11.029114,0.9999999909762892,2.3654949355064723e-11
-11.005063,0.9999999923430348,2.016922554103488e-11
-10.981013,0.999999993915944,1.6134058364707593e-11
-10.956962,0.9999999911233528,2.3280691626354063e-11
-10.932911,0.999999984119486,4.093675846604312e-11
-10.908861,0.9999999868435576,3.410568853016142e-11
-10.88481,0.9999999828141484,4.419692042043358e-11
-10.860759,0.999999990655413,2.447089270442232e-11
-10.836709,0.9999999942759312,1.52063911363079e-11
-10.812658,0.9999999952142276,1.27799216802425e-11
-10.788608,0.9999999959851238,1.0775802669986208e-11
-10.764557,0.9999999959981652,1.0741803401937122e-11
-10.740506,0.9999999960176816,1.0690923802581165e-11
-10.716456,0.999999996045668,1.0617944380560376e-11
-10.692405,0.9999999959665032,1.0824334252752412e-11
-10.668354,0.9999999958521008,1.1122383160714115e-11
-10.644304,0.9999999959016534,1.0993317708586188e-11
-10.620253,0.999999995592135,1.1798767584624496e-11
-10.596203,0.9999999954858524,1.2074951849324554e-11
-10.572152,0.9999999956089612,1.1755026943664142e-11
-10.548101,0.9999999958758136,1.1060625572918922e-11
-10.524051,0.9999999957778553,1.1315682411984306e-11
-10.5,0.9999999958047636,1.1245640122839336e-11
-90.818947,1.0292389918315049e-07,6.181268975392586e-11
-90.785263,1.0711393889023997e-07,6.409325868160805e-11
-90.751579,1.38036860611523e-07,8.066645519614189e-11
